Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-02,TSLA,Sell Put,350.0,-4.9%,2.65,45.4%,-0.1603,45.2,,55.3%,2026-04-08,Good
2026-04-02,TSLA,Sell Put,345.0,-6.3%,1.86,46.6%,-0.1090,47.9,,39.4%,2026-04-08,Good
2026-04-02,TSLA,Sell Put,342.5,-7.0%,1.61,47.7%,-0.0910,49.4,,34.3%,2026-04-08,Good
2026-04-02,TSLA,Sell Put,337.5,-8.3%,1.19,50.0%,-0.0634,52.5,,25.7%,2026-04-08,Good
2026-04-02,TSLA,Sell Put,335.0,-9.0%,1.01,50.7%,-0.0513,54.0,,22.0%,2026-04-08,Good
2026-04-02,TSLA,Sell Call,387.5,+5.2%,1.30,34.6%,0.1104,43.5,,24.5%,2026-04-08,Good
2026-04-02,TSLA,Sell Call,390.0,+5.9%,1.02,34.8%,0.0846,45.2,,19.1%,2026-04-08,Good
2026-04-02,TSLA,Sell Put,350.0,-4.9%,3.75,46.9%,-0.2040,43.2,,55.9%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,345.0,-6.3%,2.85,48.0%,-0.1523,46.2,,43.1%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,340.0,-7.7%,2.16,49.5%,-0.1130,49.4,,33.1%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,340.0,-7.7%,2.16,49.5%,-0.1130,49.4,,33.1%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,335.0,-9.0%,1.61,50.8%,-0.0820,52.7,,25.1%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,330.0,-10.4%,1.21,52.4%,-0.0595,55.1,,19.1%,2026-04-10,Good
2026-04-02,TSLA,Sell Call,387.5,+5.2%,2.19,36.6%,0.1673,41.5,,29.5%,2026-04-10,Good
2026-04-02,TSLA,Sell Call,390.0,+5.9%,1.79,36.5%,0.1371,43.3,,23.9%,2026-04-10,Good
2026-04-02,TSLA,Sell Call,395.0,+7.3%,1.14,36.5%,0.0890,47.1,,15.0%,2026-04-10,Good
2026-04-02,TSLA,Sell Put,350.0,-4.9%,6.50,46.1%,-0.2654,39.1,,48.4%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,345.0,-6.3%,5.30,47.0%,-0.2197,42.6,,40.1%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,340.0,-7.7%,4.25,47.9%,-0.1796,46.0,,32.6%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,340.0,-7.7%,4.25,47.9%,-0.1796,46.0,,32.6%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,335.0,-9.0%,3.40,49.1%,-0.1468,49.5,,26.5%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,330.0,-10.4%,2.82,50.3%,-0.1190,52.1,,22.3%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,387.5,+5.2%,4.70,38.1%,0.2669,37.6,,31.6%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,390.0,+5.9%,4.00,37.7%,0.2365,39.5,,26.7%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,395.0,+7.3%,3.00,37.8%,0.1878,43.3,,19.8%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,397.5,+8.0%,2.57,37.5%,0.1632,45.3,,16.9%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,402.5,+9.3%,1.90,37.4%,0.1244,49.2,,12.3%,2026-04-17,Good
2026-04-02,TSLA,Sell Call,405.0,+10.0%,1.66,37.7%,0.1096,51.1,,10.7%,2026-04-17,Good
2026-04-02,TSLA,Sell Put,335.0,-9.0%,6.75,53.9%,-0.2068,48.5,,35.0%,2026-04-24,Good
2026-04-02,TSLA,Sell Put,330.0,-10.4%,5.75,54.8%,-0.1787,51.1,,30.3%,2026-04-24,Good
2026-04-02,TSLA,Sell Call,395.0,+7.3%,6.70,44.4%,0.2808,41.6,,29.5%,2026-04-24,Good
2026-04-02,TSLA,Sell Call,400.0,+8.6%,5.55,44.3%,0.2422,45.3,,24.1%,2026-04-24,Good
2026-04-02,TSLA,Sell Call,400.0,+8.6%,5.55,44.3%,0.2422,45.3,,24.1%,2026-04-24,Good
2026-04-02,TSLA,Sell Call,405.0,+10.0%,4.40,43.7%,0.2034,49.0,,18.9%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,197.5,-5.4%,1.09,43.3%,-0.1300,45.2,,40.3%,2026-04-08,Good
2026-04-02,AMZN,Sell Put,197.5,-5.4%,1.68,44.6%,-0.1742,43.5,,44.4%,2026-04-10,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,1.29,45.1%,-0.1289,46.3,,34.5%,2026-04-10,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,1.29,45.1%,-0.1289,46.3,,34.5%,2026-04-10,Good
2026-04-02,AMZN,Sell Put,197.5,-5.4%,2.93,43.9%,-0.2402,39.5,,38.7%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,2.40,44.4%,-0.1991,42.7,,32.1%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,2.40,44.4%,-0.1991,42.7,,32.1%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,192.5,-7.8%,1.94,44.6%,-0.1610,45.9,,26.3%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,190.0,-8.9%,1.55,45.5%,-0.1318,49.1,,21.3%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,187.5,-10.2%,1.23,46.3%,-0.1060,51.9,,17.1%,2026-04-17,Good
2026-04-02,AMZN,Sell Call,220.0,+5.4%,1.08,26.8%,0.1727,38.1,,12.8%,2026-04-17,Good
2026-04-02,AMZN,Sell Call,220.0,+5.4%,1.08,26.8%,0.1727,38.1,,12.8%,2026-04-17,Good
2026-04-02,AMZN,Sell Put,200.0,-4.2%,4.60,41.8%,-0.3076,34.4,,40.0%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,3.25,43.3%,-0.2318,40.9,,29.0%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,195.0,-6.6%,3.25,43.3%,-0.2318,40.9,,29.0%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,190.0,-8.9%,2.31,43.8%,-0.1656,47.5,,21.1%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,190.0,-8.9%,2.31,43.8%,-0.1656,47.5,,21.1%,2026-04-24,Good
2026-04-02,AMZN,Sell Put,190.0,-8.9%,2.31,43.8%,-0.1656,47.5,,21.1%,2026-04-24,Good
2026-04-02,AMZN,Sell Call,220.0,+5.4%,1.81,27.8%,0.2373,36.0,,14.3%,2026-04-24,Good
2026-04-02,AMZN,Sell Call,220.0,+5.4%,1.81,27.8%,0.2373,36.0,,14.3%,2026-04-24,Good
2026-04-02,NVDA,Sell Put,165.0,-5.3%,1.08,44.5%,-0.1401,45.5,,47.8%,2026-04-08,Good
2026-04-02,NVDA,Sell Put,165.0,-5.3%,1.61,46.2%,-0.1856,43.8,,50.9%,2026-04-10,Good
2026-04-02,NVDA,Sell Put,162.5,-6.7%,1.16,47.2%,-0.1336,47.0,,37.2%,2026-04-10,Good
2026-04-02,NVDA,Sell Put,162.5,-6.7%,1.16,47.2%,-0.1336,47.0,,37.2%,2026-04-10,Good
2026-04-02,NVDA,Sell Put,165.0,-5.3%,2.85,45.7%,-0.2506,39.9,,45.0%,2026-04-17,Good
2026-04-02,NVDA,Sell Put,162.5,-6.7%,2.32,47.1%,-0.2060,43.6,,37.2%,2026-04-17,Good
2026-04-02,NVDA,Sell Put,162.5,-6.7%,2.32,47.1%,-0.2060,43.6,,37.2%,2026-04-17,Good
2026-04-02,NVDA,Sell Put,160.0,-8.2%,1.81,47.8%,-0.1648,47.2,,29.5%,2026-04-17,Good
