Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-07,TSLA,Sell Put,325.0,-5.1%,2.13,43.6%,-0.1436,45.0,,47.8%,2026-04-13,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,1.63,46.9%,-0.1008,48.5,,37.2%,2026-04-13,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,1.63,46.9%,-0.1008,48.5,,37.2%,2026-04-13,Good
2026-04-07,TSLA,Sell Put,315.0,-8.0%,1.13,48.8%,-0.0661,51.7,,26.2%,2026-04-13,Good
2026-04-07,TSLA,Sell Call,360.0,+5.1%,2.48,44.2%,0.1770,44.7,,50.3%,2026-04-13,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,1.60,43.7%,0.1137,47.7,,32.0%,2026-04-13,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,1.60,43.7%,0.1137,47.7,,32.0%,2026-04-13,Good
2026-04-07,TSLA,Sell Call,370.0,+8.0%,1.10,44.6%,0.0747,51.1,,21.7%,2026-04-13,Good
2026-04-07,TSLA,Sell Put,325.0,-5.1%,3.10,45.4%,-0.1895,43.1,,49.7%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,2.33,47.2%,-0.1388,46.6,,38.0%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,2.33,47.2%,-0.1388,46.6,,38.0%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,315.0,-8.0%,1.76,49.3%,-0.1014,50.2,,29.1%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,1.30,50.9%,-0.0719,53.8,,21.9%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,1.30,50.9%,-0.0719,53.8,,21.9%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,360.0,+5.1%,3.50,45.3%,0.2266,42.4,,50.7%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,2.44,44.9%,0.1641,45.7,,34.9%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,2.44,44.9%,0.1641,45.7,,34.9%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,370.0,+8.0%,1.63,44.4%,0.1127,49.3,,23.0%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,375.0,+9.5%,1.13,44.8%,0.0782,53.1,,15.7%,2026-04-15,Good
2026-04-07,TSLA,Sell Call,375.0,+9.5%,1.13,44.8%,0.0782,53.1,,15.7%,2026-04-15,Good
2026-04-07,TSLA,Sell Put,325.0,-5.1%,4.05,46.0%,-0.2184,41.8,,50.5%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,3.10,47.5%,-0.1677,45.3,,39.3%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,3.10,47.5%,-0.1677,45.3,,39.3%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,315.0,-8.0%,2.42,49.4%,-0.1287,49.0,,31.2%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,1.90,51.2%,-0.0979,52.7,,24.9%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,1.90,51.2%,-0.0979,52.7,,24.9%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,360.0,+5.1%,4.40,45.6%,0.2595,40.8,,49.6%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,3.25,45.4%,0.2002,44.3,,36.1%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,3.25,45.4%,0.2002,44.3,,36.1%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,370.0,+8.0%,2.39,45.3%,0.1502,48.0,,26.2%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,372.5,+8.8%,1.94,44.8%,0.1263,49.9,,21.1%,2026-04-17,Good
2026-04-07,TSLA,Sell Call,377.5,+10.2%,1.40,44.8%,0.0915,53.2,,15.0%,2026-04-17,Good
2026-04-07,TSLA,Sell Put,325.0,-5.1%,4.70,44.5%,-0.2391,39.8,,44.0%,2026-04-20,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,3.65,45.8%,-0.1899,43.6,,34.7%,2026-04-20,Good
2026-04-07,TSLA,Sell Put,320.0,-6.6%,3.65,45.8%,-0.1899,43.6,,34.7%,2026-04-20,Good
2026-04-07,TSLA,Sell Put,315.0,-8.0%,2.90,47.4%,-0.1502,47.4,,28.0%,2026-04-20,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,2.31,49.0%,-0.1182,51.3,,22.7%,2026-04-20,Good
2026-04-07,TSLA,Sell Put,310.0,-9.5%,2.31,49.0%,-0.1182,51.3,,22.7%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,360.0,+5.1%,5.20,44.8%,0.2896,38.7,,43.9%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,3.90,44.2%,0.2310,42.4,,32.5%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,365.0,+6.6%,3.90,44.2%,0.2310,42.4,,32.5%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,370.0,+8.0%,2.83,43.2%,0.1770,46.3,,23.3%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,375.0,+9.5%,2.09,43.4%,0.1370,50.3,,17.0%,2026-04-20,Good
2026-04-07,TSLA,Sell Call,375.0,+9.5%,2.09,43.4%,0.1370,50.3,,17.0%,2026-04-20,Good
2026-04-07,AMZN,Sell Put,200.0,-5.1%,1.07,36.5%,-0.1412,41.4,,27.9%,2026-04-15,Good
2026-04-07,AMZN,Sell Put,200.0,-5.1%,1.07,36.5%,-0.1412,41.4,,27.9%,2026-04-15,Good
2026-04-07,AMZN,Sell Call,220.0,+4.4%,1.26,33.7%,0.1889,38.9,,29.9%,2026-04-15,Good
2026-04-07,AMZN,Sell Put,200.0,-5.1%,1.45,36.3%,-0.1673,40.1,,29.4%,2026-04-17,Good
2026-04-07,AMZN,Sell Put,197.5,-6.3%,1.12,37.8%,-0.1275,43.4,,23.0%,2026-04-17,Good
2026-04-07,AMZN,Sell Call,220.0,+4.4%,1.73,34.4%,0.2263,37.4,,31.9%,2026-04-17,Good
2026-04-07,AMZN,Sell Call,222.5,+5.6%,1.13,33.3%,0.1603,40.8,,20.6%,2026-04-17,Good
2026-04-07,AMZN,Sell Put,200.0,-5.1%,1.40,36.5%,-0.1993,38.1,,21.3%,2026-04-20,Wide
2026-04-07,AMZN,Sell Put,200.0,-5.1%,1.40,36.5%,-0.1993,38.1,,21.3%,2026-04-20,Wide
2026-04-07,AMZN,Sell Call,220.0,+4.4%,1.68,35.5%,0.2698,35.1,,23.2%,2026-04-20,Wide
2026-04-07,NVDA,Sell Put,167.5,-4.5%,1.63,38.6%,-0.2068,39.1,,39.5%,2026-04-17,Good
2026-04-07,NVDA,Sell Put,165.0,-6.0%,1.22,40.3%,-0.1535,42.9,,30.0%,2026-04-17,Good
2026-04-07,NVDA,Sell Put,165.0,-6.0%,1.36,37.5%,-0.1680,41.2,,25.1%,2026-04-20,Good
2026-04-07,NVDA,Sell Put,165.0,-6.0%,1.36,37.5%,-0.1680,41.2,,25.1%,2026-04-20,Good
2026-04-07,NVDA,Sell Put,165.0,-6.0%,1.36,37.5%,-0.1680,41.2,,25.1%,2026-04-20,Good
2026-04-07,NVDA,Sell Call,185.0,+5.4%,1.15,31.4%,0.1914,38.7,,18.9%,2026-04-20,Good
2026-04-07,NVDA,Sell Call,185.0,+5.4%,1.15,31.4%,0.1914,38.7,,18.9%,2026-04-20,Good
