Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-10,TSLA,Sell Put,330.0,-5.1%,2.63,43.8%,-0.1665,43.8,,48.5%,2026-04-17,Good
2026-04-10,TSLA,Sell Put,325.0,-6.5%,1.87,45.3%,-0.1152,47.1,,35.0%,2026-04-17,Good
2026-04-10,TSLA,Sell Put,325.0,-6.5%,1.87,45.3%,-0.1152,47.1,,35.0%,2026-04-17,Good
2026-04-10,TSLA,Sell Put,320.0,-7.9%,1.27,46.6%,-0.0765,50.4,,24.1%,2026-04-17,Good
2026-04-10,TSLA,Sell Call,365.0,+5.0%,2.22,38.9%,0.1739,42.1,,37.0%,2026-04-17,Good
2026-04-10,TSLA,Sell Call,370.0,+6.5%,1.53,39.9%,0.1189,45.8,,25.2%,2026-04-17,Good
2026-04-10,TSLA,Sell Call,372.5,+7.2%,1.28,40.4%,0.0975,47.7,,20.9%,2026-04-17,Good
2026-04-10,TSLA,Sell Call,375.0,+7.9%,1.07,40.9%,0.0802,49.6,,17.4%,2026-04-17,Good
2026-04-10,TSLA,Sell Put,330.0,-5.1%,3.10,40.7%,-0.1941,40.6,,38.1%,2026-04-20,Good
2026-04-10,TSLA,Sell Put,325.0,-6.5%,2.26,41.7%,-0.1408,44.4,,28.2%,2026-04-20,Good
2026-04-10,TSLA,Sell Put,325.0,-6.5%,2.26,41.7%,-0.1408,44.4,,28.2%,2026-04-20,Good
2026-04-10,TSLA,Sell Put,320.0,-7.9%,1.63,43.0%,-0.1007,48.2,,20.7%,2026-04-20,Good
2026-04-10,TSLA,Sell Put,315.0,-9.4%,1.17,44.3%,-0.0712,52.0,,15.1%,2026-04-20,Good
2026-04-10,TSLA,Sell Put,315.0,-9.4%,1.17,44.3%,-0.0712,52.0,,15.1%,2026-04-20,Good
2026-04-10,TSLA,Sell Call,365.0,+5.0%,2.87,37.3%,0.2163,39.3,,31.9%,2026-04-20,Good
2026-04-10,TSLA,Sell Call,370.0,+6.5%,2.06,37.8%,0.1583,43.3,,22.6%,2026-04-20,Good
2026-04-10,TSLA,Sell Call,370.0,+6.5%,2.06,37.8%,0.1583,43.3,,22.6%,2026-04-20,Good
2026-04-10,TSLA,Sell Call,375.0,+7.9%,1.49,38.7%,0.1151,47.4,,16.1%,2026-04-20,Good
2026-04-10,TSLA,Sell Call,380.0,+9.3%,1.10,39.7%,0.0842,51.4,,11.7%,2026-04-20,Good
