Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-03-31,TSLA,Sell Put,347.5,-4.9%,2.41,43.5%,-0.1536,44.5,,50.6%,2026-04-06,Good
2026-03-31,TSLA,Sell Put,342.5,-6.2%,1.63,44.5%,-0.1006,47.4,,34.7%,2026-04-06,Good
2026-03-31,TSLA,Sell Put,340.0,-6.9%,1.36,45.3%,-0.0817,48.9,,29.2%,2026-04-06,Good
2026-03-31,TSLA,Sell Call,382.5,+4.7%,1.78,36.1%,0.1469,42.2,,34.0%,2026-04-06,Good
2026-03-31,TSLA,Sell Call,387.5,+6.1%,1.05,35.8%,0.0855,45.6,,19.8%,2026-04-06,Good
2026-03-31,TSLA,Sell Put,347.5,-4.9%,3.50,45.3%,-0.1992,42.6,,52.5%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,342.5,-6.2%,2.59,46.2%,-0.1456,45.8,,39.4%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,340.0,-6.9%,2.31,47.5%,-0.1273,47.5,,35.4%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,335.0,-8.3%,1.73,49.1%,-0.0931,50.8,,26.9%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,332.5,-9.0%,1.45,49.5%,-0.0777,52.5,,22.7%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,330.0,-9.7%,1.29,50.6%,-0.0668,54.2,,20.4%,2026-04-08,Good
2026-03-31,TSLA,Sell Call,382.5,+4.7%,2.75,37.9%,0.2028,40.2,,37.5%,2026-04-08,Good
2026-03-31,TSLA,Sell Call,387.5,+6.1%,1.77,37.2%,0.1359,43.7,,23.8%,2026-04-08,Good
2026-03-31,TSLA,Sell Call,390.0,+6.8%,1.47,37.6%,0.1127,45.6,,19.7%,2026-04-08,Good
2026-03-31,TSLA,Sell Put,345.0,-5.6%,4.05,46.8%,-0.2028,43.0,,47.6%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,345.0,-5.6%,4.05,46.8%,-0.2028,43.0,,47.6%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,340.0,-6.9%,3.15,48.5%,-0.1594,46.3,,37.6%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,335.0,-8.3%,2.43,49.4%,-0.1206,49.7,,29.4%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,330.0,-9.7%,1.95,51.4%,-0.0940,53.2,,24.0%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,330.0,-9.7%,1.95,51.4%,-0.0940,53.2,,24.0%,2026-04-10,Good
2026-03-31,TSLA,Sell Call,382.5,+4.7%,3.80,39.5%,0.2453,38.8,,40.3%,2026-04-10,Good
2026-03-31,TSLA,Sell Call,387.5,+6.1%,2.57,38.5%,0.1778,42.3,,26.9%,2026-04-10,Good
2026-03-31,TSLA,Sell Call,390.0,+6.8%,2.15,38.5%,0.1514,44.2,,22.4%,2026-04-10,Good
2026-03-31,TSLA,Sell Call,395.0,+8.1%,1.49,38.4%,0.1065,48.0,,15.3%,2026-04-10,Good
2026-03-31,TSLA,Sell Call,397.5,+8.8%,1.30,39.1%,0.0926,49.9,,13.3%,2026-04-10,Good
2026-03-31,TSLA,Sell Put,345.0,-5.6%,6.40,45.9%,-0.2527,40.0,,42.3%,2026-04-17,Good
2026-03-31,TSLA,Sell Put,345.0,-5.6%,6.40,45.9%,-0.2527,40.0,,42.3%,2026-04-17,Good
2026-03-31,TSLA,Sell Put,340.0,-6.9%,5.25,46.9%,-0.2112,43.5,,35.2%,2026-04-17,Good
2026-03-31,TSLA,Sell Put,335.0,-8.3%,4.35,48.1%,-0.1755,47.1,,29.6%,2026-04-17,Good
2026-03-31,TSLA,Sell Put,330.0,-9.7%,3.60,49.5%,-0.1457,50.7,,24.9%,2026-04-17,Good
2026-03-31,TSLA,Sell Put,330.0,-9.7%,3.60,49.5%,-0.1457,50.7,,24.9%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,382.5,+4.7%,6.30,40.1%,0.3157,35.6,,37.6%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,387.5,+6.1%,4.80,39.4%,0.2587,39.3,,28.3%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,390.0,+6.8%,4.25,39.2%,0.2332,41.2,,24.9%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,395.0,+8.1%,3.10,38.6%,0.1844,45.0,,17.9%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,397.5,+8.8%,2.81,38.8%,0.1657,47.0,,16.1%,2026-04-17,Good
2026-03-31,TSLA,Sell Call,402.5,+10.2%,2.11,38.8%,0.1301,50.5,,12.0%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,195.0,-5.4%,1.02,37.7%,-0.1342,42.4,,27.3%,2026-04-08,Good
2026-03-31,AMZN,Sell Put,195.0,-5.4%,1.37,37.2%,-0.1587,41.1,,28.5%,2026-04-10,Good
2026-03-31,AMZN,Sell Put,192.5,-6.6%,1.06,38.7%,-0.1202,44.4,,22.3%,2026-04-10,Good
2026-03-31,AMZN,Sell Put,192.5,-6.6%,1.06,38.7%,-0.1202,44.4,,22.3%,2026-04-10,Good
2026-03-31,AMZN,Sell Call,217.5,+5.5%,1.15,33.5%,0.1653,40.6,,21.4%,2026-04-10,Good
2026-03-31,AMZN,Sell Call,217.5,+5.5%,1.15,33.5%,0.1653,40.6,,21.4%,2026-04-10,Good
2026-03-31,AMZN,Sell Put,195.0,-5.4%,2.39,36.8%,-0.2161,38.4,,28.0%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,192.5,-6.6%,1.95,38.0%,-0.1775,41.8,,23.1%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,192.5,-6.6%,1.95,38.0%,-0.1775,41.8,,23.1%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,190.0,-7.8%,1.58,39.1%,-0.1442,45.3,,19.0%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,187.5,-9.0%,1.30,40.5%,-0.1182,48.6,,15.8%,2026-04-17,Good
2026-03-31,AMZN,Sell Put,185.0,-10.2%,1.07,41.8%,-0.0961,51.3,,13.2%,2026-04-17,Good
2026-03-31,AMZN,Sell Call,217.5,+5.5%,2.25,34.4%,0.2478,37.5,,23.6%,2026-04-17,Good
2026-03-31,AMZN,Sell Call,217.5,+5.5%,2.25,34.4%,0.2478,37.5,,23.6%,2026-04-17,Good
2026-03-31,AMZN,Sell Call,220.0,+6.7%,1.63,33.6%,0.1945,41.1,,16.9%,2026-04-17,Good
2026-03-31,AMZN,Sell Call,222.5,+8.0%,1.16,32.9%,0.1480,44.8,,11.9%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,162.5,-4.8%,1.47,43.6%,-0.1973,41.7,,47.2%,2026-04-08,Good
2026-03-31,NVDA,Sell Put,160.0,-6.2%,1.00,43.4%,-0.1331,45.2,,32.6%,2026-04-08,Good
2026-03-31,NVDA,Sell Put,162.5,-4.8%,1.87,42.7%,-0.2187,40.4,,46.7%,2026-04-10,Good
2026-03-31,NVDA,Sell Put,160.0,-6.2%,1.37,43.8%,-0.1627,44.0,,34.7%,2026-04-10,Good
2026-03-31,NVDA,Sell Put,157.5,-7.7%,1.02,45.1%,-0.1191,47.7,,26.3%,2026-04-10,Good
2026-03-31,NVDA,Sell Put,157.5,-7.7%,1.02,45.1%,-0.1191,47.7,,26.3%,2026-04-10,Good
2026-03-31,NVDA,Sell Put,162.5,-4.8%,2.99,42.6%,-0.2697,37.4,,42.0%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,160.0,-6.2%,2.38,43.5%,-0.2196,41.3,,33.9%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,157.5,-7.7%,1.93,45.0%,-0.1793,45.2,,28.0%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,157.5,-7.7%,1.93,45.0%,-0.1793,45.2,,28.0%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,155.0,-9.1%,1.50,45.7%,-0.1415,49.1,,22.1%,2026-04-17,Good
2026-03-31,NVDA,Sell Put,152.5,-10.6%,1.17,46.7%,-0.1116,51.5,,17.5%,2026-04-17,Good
2026-03-31,NVDA,Sell Call,180.0,+5.5%,1.51,31.3%,0.2259,37.5,,19.1%,2026-04-17,Good
2026-03-31,NVDA,Sell Call,180.0,+5.5%,1.51,31.3%,0.2259,37.5,,19.1%,2026-04-17,Good
2026-03-31,NVDA,Sell Call,182.5,+7.0%,1.03,31.0%,0.1651,42.0,,12.9%,2026-04-17,Good
