Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-03-27,TSLA,Sell Put,352.5,-5.3%,0.11,54.5%,-0.0276,59.2,,11.4%,2026-03-27,Good
2026-03-27,TSLA,Sell Put,350.0,-5.9%,0.07,56.6%,-0.0185,60.5,,7.3%,2026-03-27,Good
2026-03-27,TSLA,Sell Put,345.0,-7.3%,0.03,62.1%,-0.0095,63.5,,3.2%,2026-03-27,Wide
2026-03-27,TSLA,Sell Put,342.5,-8.0%,0.02,63.7%,-0.0061,65.1,,2.1%,2026-03-27,Wide
2026-03-27,TSLA,Sell Put,337.5,-9.3%,0.02,73.4%,-0.0052,68.4,,2.2%,2026-03-27,Wide
2026-03-27,TSLA,Sell Put,335.0,-10.0%,0.01,76.6%,-0.0041,70.0,,1.1%,2026-03-27,Wide
2026-03-27,TSLA,Sell Call,390.0,+4.8%,0.17,51.9%,0.0435,58.3,,15.9%,2026-03-27,Good
2026-03-27,TSLA,Sell Call,395.0,+6.2%,0.10,57.8%,0.0254,61.1,,9.2%,2026-03-27,Good
2026-03-27,TSLA,Sell Call,397.5,+6.8%,0.08,60.7%,0.0199,62.7,,7.3%,2026-03-27,Good
2026-03-27,TSLA,Sell Call,402.5,+8.2%,0.05,66.4%,0.0126,65.8,,4.5%,2026-03-27,Wide
2026-03-27,TSLA,Sell Call,405.0,+8.8%,0.04,69.1%,0.0102,67.4,,3.6%,2026-03-27,Wide
2026-03-27,TSLA,Sell Call,410.0,+10.2%,0.02,72.7%,0.0057,70.1,,1.8%,2026-03-27,Wide
2026-03-27,TSLA,Sell Put,352.5,-5.3%,1.06,45.5%,-0.0513,51.3,,54.9%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,350.0,-5.9%,0.85,46.5%,-0.0354,51.4,,44.3%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,345.0,-7.3%,0.55,49.0%,-0.0173,52.4,,29.1%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,342.5,-8.0%,0.45,50.1%,-0.0119,52.9,,24.0%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,337.5,-9.3%,0.31,53.1%,-0.0061,54.6,,16.8%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,335.0,-10.0%,0.26,54.7%,-0.0044,55.7,,14.2%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,390.0,+4.8%,0.94,39.1%,0.0548,48.7,,44.0%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,395.0,+6.2%,0.52,39.7%,0.0224,49.1,,24.0%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,397.5,+6.8%,0.38,40.1%,0.0139,49.5,,17.4%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,402.5,+8.2%,0.22,41.3%,0.0055,50.9,,10.0%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,405.0,+8.8%,0.17,42.2%,0.0036,51.9,,7.7%,2026-03-30,Good
2026-03-27,TSLA,Sell Call,410.0,+10.2%,0.10,43.8%,0.0015,53.6,,4.5%,2026-03-30,Good
2026-03-27,TSLA,Sell Put,352.5,-5.3%,2.34,48.5%,-0.1349,48.2,,60.6%,2026-04-01,Good
2026-03-27,TSLA,Sell Put,350.0,-5.9%,1.96,49.3%,-0.1105,49.3,,51.1%,2026-04-01,Good
2026-03-27,TSLA,Sell Put,345.0,-7.3%,1.38,50.6%,-0.0716,51.7,,36.5%,2026-04-01,Good
2026-03-27,TSLA,Sell Put,342.5,-8.0%,1.16,51.5%,-0.0575,53.0,,30.9%,2026-04-01,Good
2026-03-27,TSLA,Sell Put,337.5,-9.3%,0.81,53.2%,-0.0366,55.7,,21.9%,2026-04-01,Good
2026-03-27,TSLA,Sell Put,335.0,-10.0%,0.68,54.1%,-0.0292,57.1,,18.5%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,390.0,+4.8%,2.06,41.6%,0.1481,45.2,,48.2%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,395.0,+6.2%,1.29,41.3%,0.0891,47.7,,29.8%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,397.5,+6.8%,1.02,41.4%,0.0684,49.1,,23.4%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,402.5,+8.2%,0.63,41.7%,0.0388,52.1,,14.3%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,405.0,+8.8%,0.50,42.0%,0.0294,53.6,,11.3%,2026-04-01,Good
2026-03-27,TSLA,Sell Call,410.0,+10.2%,0.32,42.7%,0.0164,56.0,,7.1%,2026-04-01,Good
2026-03-27,AMZN,Sell Put,197.5,-4.8%,0.04,51.6%,-0.0317,57.4,,7.4%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.03,57.0%,-0.0175,60.5,,5.6%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,192.5,-7.2%,0.02,62.9%,-0.0106,63.4,,3.8%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.01,70.3%,-0.0077,66.2,,1.9%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.01,70.3%,-0.0077,66.2,,1.9%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,187.5,-9.7%,0.01,76.6%,-0.0053,69.3,,1.9%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,217.5,+4.8%,0.05,47.5%,0.0308,57.5,,8.4%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.03,52.3%,0.0175,60.3,,5.0%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,222.5,+7.2%,0.02,58.2%,0.0118,63.2,,3.3%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.01,62.5%,0.0072,66.1,,1.6%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.01,62.5%,0.0072,66.1,,1.6%,2026-03-27,Wide
2026-03-27,AMZN,Sell Call,227.5,+9.6%,0.00,62.5%,0.0027,49.0,,0.0%,2026-03-27,Wide
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.23,40.2%,-0.0171,48.6,,21.5%,2026-03-30,Good
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.23,40.2%,-0.0171,48.6,,21.5%,2026-03-30,Good
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.23,40.2%,-0.0171,48.6,,21.5%,2026-03-30,Good
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.09,45.7%,-0.0042,52.1,,8.6%,2026-03-30,Wide
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.09,45.7%,-0.0042,52.1,,8.6%,2026-03-30,Wide
2026-03-27,AMZN,Sell Put,185.0,-10.9%,0.04,50.6%,-0.0010,53.8,,3.9%,2026-03-30,Wide
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.16,34.8%,0.0125,47.1,,13.3%,2026-03-30,Good
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.16,34.8%,0.0125,47.1,,13.3%,2026-03-30,Good
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.16,34.8%,0.0125,47.1,,13.3%,2026-03-30,Good
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.01,38.3%,0.0024,66.1,,0.8%,2026-03-30,Wide
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.01,38.3%,0.0024,66.1,,0.8%,2026-03-30,Wide
2026-03-27,AMZN,Sell Call,230.0,+10.8%,0.02,41.8%,0.0005,53.0,,1.6%,2026-03-30,Wide
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.64,45.7%,-0.0906,48.6,,29.9%,2026-04-01,Wide
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.64,45.7%,-0.0906,48.6,,29.9%,2026-04-01,Wide
2026-03-27,AMZN,Sell Put,195.0,-6.0%,0.64,45.7%,-0.0906,48.6,,29.9%,2026-04-01,Wide
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.27,45.5%,-0.0295,53.4,,13.0%,2026-04-01,Wide
2026-03-27,AMZN,Sell Put,190.0,-8.4%,0.27,45.5%,-0.0295,53.4,,13.0%,2026-04-01,Wide
2026-03-27,AMZN,Sell Put,185.0,-10.9%,0.12,48.3%,-0.0105,56.7,,5.9%,2026-04-01,Wide
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.36,34.4%,0.0565,46.8,,14.9%,2026-04-01,Good
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.36,34.4%,0.0565,46.8,,14.9%,2026-04-01,Good
2026-03-27,AMZN,Sell Call,220.0,+6.0%,0.36,34.4%,0.0565,46.8,,14.9%,2026-04-01,Good
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.09,35.1%,0.0151,54.4,,3.6%,2026-04-01,Wide
2026-03-27,AMZN,Sell Call,225.0,+8.4%,0.09,35.1%,0.0151,54.4,,3.6%,2026-04-01,Wide
2026-03-27,AMZN,Sell Call,230.0,+10.8%,0.03,36.5%,0.0040,57.9,,1.2%,2026-04-01,Wide
2026-03-27,NVDA,Sell Put,162.5,-5.1%,0.05,53.5%,-0.0294,58.7,,11.2%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.02,59.0%,-0.0132,61.8,,4.6%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.02,59.0%,-0.0132,61.8,,4.6%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,157.5,-8.0%,0.01,66.4%,-0.0076,65.2,,2.3%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.01,77.3%,-0.0065,68.9,,2.4%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.01,77.3%,-0.0065,68.9,,2.4%,2026-03-27,Wide
2026-03-27,NVDA,Sell Call,180.0,+5.1%,0.06,52.3%,0.0358,58.7,,12.2%,2026-03-27,Good
2026-03-27,NVDA,Sell Call,182.5,+6.6%,0.03,57.8%,0.0185,61.9,,6.0%,2026-03-27,Wide
2026-03-27,NVDA,Sell Call,182.5,+6.6%,0.03,57.8%,0.0185,61.9,,6.0%,2026-03-27,Wide
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.02,65.6%,0.0129,65.4,,3.9%,2026-03-27,Wide
2026-03-27,NVDA,Sell Call,187.5,+9.5%,0.01,70.3%,0.0073,68.9,,1.9%,2026-03-27,Wide
2026-03-27,NVDA,Sell Call,187.5,+9.5%,0.01,70.3%,0.0073,68.9,,1.9%,2026-03-27,Wide
2026-03-27,NVDA,Sell Put,165.0,-3.6%,0.77,41.4%,-0.1081,50.4,,85.2%,2026-03-30,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.23,44.1%,-0.0178,50.2,,26.2%,2026-03-30,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.23,44.1%,-0.0178,50.2,,26.2%,2026-03-30,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.23,44.1%,-0.0178,50.2,,26.2%,2026-03-30,Good
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.08,49.6%,-0.0031,53.7,,9.4%,2026-03-30,Good
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.08,49.6%,-0.0031,53.7,,9.4%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,180.0,+5.1%,0.33,37.7%,0.0389,48.0,,33.5%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,180.0,+5.1%,0.33,37.7%,0.0389,48.0,,33.5%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.11,41.8%,0.0067,51.1,,10.9%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.11,41.8%,0.0067,51.1,,10.9%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.11,41.8%,0.0067,51.1,,10.9%,2026-03-30,Good
2026-03-27,NVDA,Sell Call,190.0,+11.0%,0.05,47.7%,0.0017,54.1,,4.8%,2026-03-30,Wide
2026-03-27,NVDA,Sell Put,165.0,-3.6%,1.43,44.1%,-0.2007,44.8,,79.1%,2026-04-01,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.62,46.6%,-0.0767,49.6,,35.4%,2026-04-01,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.62,46.6%,-0.0767,49.6,,35.4%,2026-04-01,Good
2026-03-27,NVDA,Sell Put,160.0,-6.6%,0.62,46.6%,-0.0767,49.6,,35.4%,2026-04-01,Good
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.26,50.0%,-0.0262,55.5,,15.3%,2026-04-01,Good
2026-03-27,NVDA,Sell Put,155.0,-9.5%,0.26,50.0%,-0.0262,55.5,,15.3%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,180.0,+5.1%,0.70,38.7%,0.1157,45.1,,35.5%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,180.0,+5.1%,0.70,38.7%,0.1157,45.1,,35.5%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.25,39.9%,0.0346,51.6,,12.3%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.25,39.9%,0.0346,51.6,,12.3%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,185.0,+8.0%,0.25,39.9%,0.0346,51.6,,12.3%,2026-04-01,Good
2026-03-27,NVDA,Sell Call,190.0,+11.0%,0.09,42.0%,0.0099,56.0,,4.3%,2026-04-01,Good
