Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-15,TSLA,Sell Put,360.0,-5.1%,6.85,60.0%,-0.2584,46.3,,86.8%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,357.5,-5.8%,6.15,60.1%,-0.2342,47.4,,78.5%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,352.5,-7.1%,4.85,60.3%,-0.1893,49.7,,62.8%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,350.0,-7.8%,4.25,60.1%,-0.1677,50.9,,55.4%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,345.0,-9.1%,3.30,60.5%,-0.1319,53.6,,43.6%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,342.5,-9.7%,2.93,61.0%,-0.1170,55.1,,39.0%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,400.0,+5.4%,5.60,52.6%,0.2657,43.7,,63.9%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,400.0,+5.4%,5.60,52.6%,0.2657,43.7,,63.9%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,405.0,+6.7%,4.50,53.0%,0.2180,46.5,,50.7%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,410.0,+8.1%,3.70,54.0%,0.1797,49.6,,41.2%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,2.96,54.4%,0.1449,52.7,,32.5%,2026-04-24,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,2.96,54.4%,0.1449,52.7,,32.5%,2026-04-24,Good
2026-04-15,TSLA,Sell Put,350.0,-7.8%,6.10,54.0%,-0.2090,46.8,,42.4%,2026-05-01,Good
2026-04-15,TSLA,Sell Put,345.0,-9.1%,5.05,54.8%,-0.1762,50.0,,35.6%,2026-05-01,Good
2026-04-15,TSLA,Sell Put,340.0,-10.4%,4.05,55.0%,-0.1452,52.3,,29.0%,2026-05-01,Good
2026-04-15,TSLA,Sell Call,405.0,+6.7%,6.65,48.8%,0.2779,42.2,,40.0%,2026-05-01,Good
2026-04-15,TSLA,Sell Call,410.0,+8.1%,5.50,48.9%,0.2382,45.5,,32.6%,2026-05-01,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,4.60,49.3%,0.2042,49.0,,27.0%,2026-05-01,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,4.60,49.3%,0.2042,49.0,,27.0%,2026-05-01,Good
2026-04-15,TSLA,Sell Put,345.0,-9.1%,6.40,51.1%,-0.1993,48.2,,30.8%,2026-05-08,Good
2026-04-15,TSLA,Sell Put,340.0,-10.4%,5.25,51.3%,-0.1690,50.6,,25.6%,2026-05-08,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,6.20,46.8%,0.2432,47.1,,24.8%,2026-05-08,Good
2026-04-15,TSLA,Sell Call,415.0,+9.4%,6.20,46.8%,0.2432,47.1,,24.8%,2026-05-08,Good
