Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-08,TSLA,Sell Put,330.0,-5.1%,2.49,43.8%,-0.1663,43.6,,45.9%,2026-04-15,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,1.75,45.9%,-0.1173,47.0,,32.8%,2026-04-15,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,1.75,45.9%,-0.1173,47.0,,32.8%,2026-04-15,Good
2026-04-08,TSLA,Sell Put,320.0,-8.0%,1.44,48.2%,-0.0833,50.7,,27.4%,2026-04-15,Good
2026-04-08,TSLA,Sell Call,365.0,+5.0%,2.96,44.3%,0.2074,43.0,,49.3%,2026-04-15,Good
2026-04-08,TSLA,Sell Call,370.0,+6.4%,2.04,44.9%,0.1491,46.3,,33.5%,2026-04-15,Good
2026-04-08,TSLA,Sell Call,370.0,+6.4%,2.04,44.9%,0.1491,46.3,,33.5%,2026-04-15,Good
2026-04-08,TSLA,Sell Call,375.0,+7.9%,1.39,44.7%,0.1005,49.8,,22.5%,2026-04-15,Good
2026-04-08,TSLA,Sell Put,330.0,-5.1%,3.55,45.3%,-0.2044,42.2,,49.1%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,2.69,46.6%,-0.1525,45.7,,37.8%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,2.69,46.6%,-0.1525,45.7,,37.8%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,320.0,-8.0%,2.01,48.2%,-0.1127,49.3,,28.7%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,1.65,50.9%,-0.0870,53.0,,23.9%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,1.65,50.9%,-0.0870,53.0,,23.9%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,365.0,+5.0%,3.85,44.2%,0.2433,41.0,,48.1%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,370.0,+6.4%,2.90,44.6%,0.1852,44.5,,35.8%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,372.5,+7.2%,2.42,44.4%,0.1582,46.3,,29.6%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,375.0,+7.9%,1.98,43.8%,0.1317,48.1,,24.1%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,380.0,+9.3%,1.46,44.5%,0.0965,51.9,,17.5%,2026-04-17,Good
2026-04-08,TSLA,Sell Call,382.5,+10.0%,1.23,44.8%,0.0818,53.8,,14.7%,2026-04-17,Good
2026-04-08,TSLA,Sell Put,330.0,-5.1%,3.85,41.9%,-0.2201,39.7,,38.7%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,3.20,44.9%,-0.1784,43.7,,32.7%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,3.20,44.9%,-0.1784,43.7,,32.7%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,320.0,-8.0%,2.47,46.0%,-0.1365,47.5,,25.6%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,1.74,46.8%,-0.1014,51.2,,18.3%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,1.74,46.8%,-0.1014,51.2,,18.3%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,365.0,+5.0%,4.80,44.0%,0.2807,38.8,,43.6%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,370.0,+6.4%,3.45,43.2%,0.2196,42.3,,30.9%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,370.0,+6.4%,3.45,43.2%,0.2196,42.3,,30.9%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,375.0,+7.9%,2.55,42.9%,0.1684,46.2,,22.6%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,380.0,+9.3%,1.77,42.2%,0.1237,50.2,,15.5%,2026-04-20,Good
2026-04-08,TSLA,Sell Call,380.0,+9.3%,1.77,42.2%,0.1237,50.2,,15.5%,2026-04-20,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,6.25,51.8%,-0.2379,43.5,,46.8%,2026-04-24,Good
2026-04-08,TSLA,Sell Put,325.0,-6.5%,6.25,51.8%,-0.2379,43.5,,46.8%,2026-04-24,Good
2026-04-08,TSLA,Sell Put,320.0,-8.0%,5.20,53.0%,-0.1996,47.1,,39.5%,2026-04-24,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,4.10,53.3%,-0.1623,50.6,,31.7%,2026-04-24,Good
2026-04-08,TSLA,Sell Put,315.0,-9.4%,4.10,53.3%,-0.1623,50.6,,31.7%,2026-04-24,Good
2026-04-08,TSLA,Sell Call,372.5,+7.2%,6.35,51.0%,0.2755,43.5,,41.5%,2026-04-24,Good
2026-04-08,TSLA,Sell Call,375.0,+7.9%,5.80,51.2%,0.2552,45.3,,37.6%,2026-04-24,Good
2026-04-08,TSLA,Sell Call,380.0,+9.3%,4.45,50.2%,0.2105,48.9,,28.5%,2026-04-24,Good
2026-04-08,TSLA,Sell Call,382.5,+10.0%,4.05,50.2%,0.1925,50.7,,25.8%,2026-04-24,Good
2026-04-08,AMZN,Sell Put,210.0,-4.7%,1.03,31.4%,-0.1381,39.4,,22.4%,2026-04-17,Good
2026-04-08,AMZN,Sell Put,210.0,-4.7%,1.13,31.0%,-0.1698,37.6,,17.9%,2026-04-20,Wide
2026-04-08,AMZN,Sell Call,230.0,+4.3%,1.03,28.4%,0.2099,35.7,,14.9%,2026-04-20,Wide
2026-04-08,AMZN,Sell Put,210.0,-4.7%,1.83,30.6%,-0.1987,36.4,,21.2%,2026-04-24,Good
2026-04-08,AMZN,Sell Put,207.5,-5.9%,1.43,31.9%,-0.1590,39.8,,16.8%,2026-04-24,Good
2026-04-08,AMZN,Sell Put,205.0,-7.0%,1.13,33.1%,-0.1262,43.1,,13.4%,2026-04-24,Good
2026-04-08,AMZN,Sell Call,232.5,+5.5%,1.35,28.4%,0.1943,37.8,,14.1%,2026-04-24,Good
2026-04-08,AMZN,Sell Call,232.5,+5.5%,1.35,28.4%,0.1943,37.8,,14.1%,2026-04-24,Good
2026-04-08,NVDA,Sell Put,172.5,-4.5%,1.05,32.9%,-0.1599,38.9,,27.8%,2026-04-17,Good
2026-04-08,NVDA,Sell Call,190.0,+5.2%,1.12,31.0%,0.1890,38.4,,19.6%,2026-04-20,Good
2026-04-08,NVDA,Sell Call,190.0,+5.2%,1.12,31.0%,0.1890,38.4,,19.6%,2026-04-20,Good
2026-04-08,NVDA,Sell Put,172.5,-4.5%,1.85,32.4%,-0.2213,35.9,,26.1%,2026-04-24,Good
2026-04-08,NVDA,Sell Put,170.0,-5.9%,1.42,33.9%,-0.1709,39.9,,20.3%,2026-04-24,Good
2026-04-08,NVDA,Sell Put,167.5,-7.3%,1.09,35.2%,-0.1306,43.9,,15.8%,2026-04-24,Good
2026-04-08,NVDA,Sell Call,190.0,+5.2%,1.77,32.5%,0.2416,36.7,,22.7%,2026-04-24,Good
2026-04-08,NVDA,Sell Call,192.5,+6.5%,1.20,31.8%,0.1787,40.9,,15.2%,2026-04-24,Good
2026-04-08,NVDA,Sell Call,192.5,+6.5%,1.20,31.8%,0.1787,40.9,,15.2%,2026-04-24,Good
